tpl,pta,ptd,arr_at,dep_at,arr_delay,dep_delay
CLCHSTR,16:21:00,16:21:00,16:17:00,16:20:00,-0.06666666666666667,-0.016666666666666666
MANNGTR,16:29:00,16:29:00,16:28:00,16:29:00,-0.016666666666666666,0.0
IPSWICH,16:40:00,16:41:00,16:38:00,16:40:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,16:52:00,16:52:00,16:50:00,16:51:00,-0.03333333333333333,-0.016666666666666666
DISS,17:04:00,17:05:00,17:03:00,17:05:00,-0.016666666666666666,0.0
NRCH,17:24:00,,17:22:00,,-0.03333333333333333,
LIVST,,16:30:00,,16:29:00,,-0.016666666666666666
CLCHSTR,17:16:00,17:17:00,17:15:00,17:18:00,-0.016666666666666666,0.016666666666666666
IPSWICH,17:34:00,17:36:00,17:33:00,17:36:00,-0.016666666666666666,0.0
STWMRKT,17:46:00,17:47:00,17:46:00,17:47:00,0.0,0.0
